,match,bowlingTeam,bowler,overs,maiden,runs,wicktes,economy,zeros,fours,sixex,wides,noBalls,match_id
121,India Vs Bangladesh,India,Hasan Mahmud,4,0,47,3,11.75,7,6,2,0,1,T20I # 1860
122,India Vs Bangladesh,India,Mustafizur Rahman,4,0,31,0,7.75,9,4,0,0,0,T20I # 1860
123,India Vs Bangladesh,India,Shakib Al Hasan,4,0,33,2,8.25,3,2,0,0,0,T20I # 1860
124,India Vs Bangladesh,Bangladesh,Bhuvneshwar Kumar,3,0,27,0,9,7,2,2,0,0,T20I # 1860
125,India Vs Bangladesh,Bangladesh,Arshdeep Singh,4,0,38,2,9.5,10,5,1,0,0,T20I # 1860
126,India Vs Bangladesh,Bangladesh,Mohammed Shami,3,0,25,1,8.33,7,2,1,0,0,T20I # 1860
127,India Vs Bangladesh,Bangladesh,Axar Patel,1,0,6,0,6,2,0,0,0,0,T20I # 1860
128,India Vs Bangladesh,Bangladesh,Ravichandran Ashwin,2,0,19,0,9.5,4,3,0,1,0,T20I # 1860
129,India Vs Bangladesh,Bangladesh,Hardik Pandya,3,0,28,2,9.33,8,1,3,0,0,T20I # 1860
130,Zimbabwe Vs Netherlands,Zimbabwe,Fred Klaassen,4,0,17,1,4.25,17,0,1,2,0,T20I # 1859
131,Zimbabwe Vs Netherlands,Zimbabwe,Paul van Meekeren,4,0,29,3,7.25,13,3,0,2,0,T20I # 1859
132,Zimbabwe Vs Netherlands,Zimbabwe,Brandon Glover,4,1,29,2,7.25,15,2,2,2,0,T20I # 1859
133,Zimbabwe Vs Netherlands,Zimbabwe,Logan van Beek,2.2,0,17,2,7.28,8,1,1,1,0,T20I # 1859
134,Zimbabwe Vs Netherlands,Zimbabwe,Bas de Leede,4,0,14,2,3.5,11,0,0,0,0,T20I # 1859
135,Zimbabwe Vs Netherlands,Zimbabwe,Roelof van der Merwe,1,0,8,0,8,2,1,0,0,0,T20I # 1859
136,Zimbabwe Vs Netherlands,Netherlands,Tendai Chatara,4,0,22,0,5.5,14,4,0,0,0,T20I # 1859
137,Zimbabwe Vs Netherlands,Netherlands,Richard Ngarava,4,0,18,2,4.5,15,1,1,0,0,T20I # 1859
138,Zimbabwe Vs Netherlands,Netherlands,Blessing Muzarabani,4,0,23,2,5.75,14,2,1,1,0,T20I # 1859
139,Zimbabwe Vs Netherlands,Netherlands,Sean Williams,3,0,21,0,7,8,2,1,0,0,T20I # 1859
140,Zimbabwe Vs Netherlands,Netherlands,Sikandar Raza,1,0,6,0,6,0,0,0,0,0,T20I # 1859
141,Zimbabwe Vs Netherlands,Netherlands,Luke Jongwe,2,0,25,1,12.5,3,4,0,3,1,T20I # 1859
142,England Vs New Zealand,England,Trent Boult,4,0,40,0,10,8,4,1,1,0,T20I # 1858
143,England Vs New Zealand,England,Tim Southee,4,0,43,1,10.75,9,3,3,0,0,T20I # 1858
144,England Vs New Zealand,England,Mitchell Santner,4,0,25,1,6.25,8,2,0,0,0,T20I # 1858
145,England Vs New Zealand,England,Lockie Ferguson,4,0,45,2,11.25,6,4,2,0,1,T20I # 1858
146,England Vs New Zealand,England,Ish Sodhi,4,0,23,1,5.75,10,2,0,0,0,T20I # 1858
147,England Vs New Zealand,New Zealand,Moeen Ali,1,0,4,0,4,3,0,0,0,0,T20I # 1858
148,England Vs New Zealand,New Zealand,Chris Woakes,4,0,33,2,8.25,9,1,2,1,0,T20I # 1858
149,England Vs New Zealand,New Zealand,Adil Rashid,4,0,33,0,8.25,6,0,2,0,0,T20I # 1858
150,England Vs New Zealand,New Zealand,Sam Curran,4,0,26,2,6.5,9,0,0,2,0,T20I # 1858
151,England Vs New Zealand,New Zealand,Mark Wood,3,0,25,1,8.33,8,2,1,1,0,T20I # 1858
152,England Vs New Zealand,New Zealand,Liam Livingstone,3,0,26,0,8.66,4,3,0,0,0,T20I # 1858
153,England Vs New Zealand,New Zealand,Ben Stokes,1,0,10,1,10,2,2,0,0,0,T20I # 1858
154,Afghanistan Vs Sri Lanka,Afghanistan,Kasun Rajitha,4,0,31,1,7.75,11,2,1,1,1,T20I # 1856
155,Afghanistan Vs Sri Lanka,Afghanistan,Pramod Madushan,3,0,24,0,8,7,2,1,0,0,T20I # 1856
156,Afghanistan Vs Sri Lanka,Afghanistan,Lahiru Kumara,4,0,30,2,7.5,12,2,1,4,0,T20I # 1856
157,Afghanistan Vs Sri Lanka,Afghanistan,Maheesh Theekshana,4,0,33,0,8.25,5,1,1,1,0,T20I # 1856
158,Afghanistan Vs Sri Lanka,Afghanistan,Wanindu Hasaranga,4,0,13,3,3.25,12,0,0,0,0,T20I # 1856
159,Afghanistan Vs Sri Lanka,Afghanistan,Dhananjaya de Silva,1,0,9,1,9,1,1,0,0,0,T20I # 1856
160,Afghanistan Vs Sri Lanka,Sri Lanka,Fazalhaq Farooqi,3.3,1,22,0,6.28,11,3,0,1,0,T20I # 1856
161,Afghanistan Vs Sri Lanka,Sri Lanka,Mujeeb Ur Rahman,4,0,24,2,6,12,3,0,0,0,T20I # 1856
162,Afghanistan Vs Sri Lanka,Sri Lanka,Fareed Ahmad,2,0,25,0,12.5,3,3,1,1,0,T20I # 1856
163,Afghanistan Vs Sri Lanka,Sri Lanka,Rashid Khan,4,0,31,2,7.75,10,2,1,1,0,T20I # 1856
