,match,team,batting_Pos,batsman,out/not out,run,ball,m,fours,sixes,strike_rate,match_id
159,Pakistan Vs South Africa,South Africa,7,Wayne Parnell,out,3,4,9,0,0,75,T20I # 1861
160,Pakistan Vs South Africa,South Africa,8,Kagiso Rabada,out,1,2,11,0,0,50,T20I # 1861
161,Pakistan Vs South Africa,South Africa,9,Anrich Nortje,out,1,5,8,0,0,20,T20I # 1861
162,Pakistan Vs South Africa,South Africa,10,Lungi Ngidi,not out,4,1,5,1,0,400,T20I # 1861
163,Pakistan Vs South Africa,South Africa,11,Tabraiz Shamsi,not out,1,1,3,0,0,100,T20I # 1861
164,India Vs Bangladesh,India,1,KL Rahul,out,50,32,49,3,4,156.25,T20I # 1860
165,India Vs Bangladesh,India,2,Rohit Sharma (c),out,2,8,18,0,0,25,T20I # 1860
166,India Vs Bangladesh,India,3,Virat Kohli,not out,64,44,84,8,1,145.45,T20I # 1860
167,India Vs Bangladesh,India,4,Suryakumar Yadav,out,30,16,18,4,0,187.5,T20I # 1860
168,India Vs Bangladesh,India,5,Hardik Pandya,out,5,6,8,0,0,83.33,T20I # 1860
169,India Vs Bangladesh,India,6,Dinesh Karthik †,out,7,5,12,1,0,140,T20I # 1860
170,India Vs Bangladesh,India,7,Axar Patel,out,7,6,6,1,0,116.66,T20I # 1860
171,India Vs Bangladesh,India,8,Ravichandran Ashwin,not out,13,6,9,1,1,216.66,T20I # 1860
172,India Vs Bangladesh,Bangladesh,1,Najmul Hossain Shanto,out,21,25,50,1,1,84,T20I # 1860
173,India Vs Bangladesh,Bangladesh,2,Litton Das,out,60,27,40,7,3,222.22,T20I # 1860
174,India Vs Bangladesh,Bangladesh,3,Shakib Al Hasan (c),out,13,12,24,2,0,108.33,T20I # 1860
175,India Vs Bangladesh,Bangladesh,4,Afif Hossain,out,3,5,12,0,0,60,T20I # 1860
176,India Vs Bangladesh,Bangladesh,5,Yasir Ali,out,1,3,8,0,0,33.33,T20I # 1860
177,India Vs Bangladesh,Bangladesh,6,Nurul Hasan †,not out,25,14,29,2,1,178.57,T20I # 1860
178,India Vs Bangladesh,Bangladesh,7,Mosaddek Hossain,out,6,3,4,0,1,200,T20I # 1860
179,India Vs Bangladesh,Bangladesh,8,Taskin Ahmed,not out,12,7,22,1,1,171.42,T20I # 1860
180,Zimbabwe Vs Netherlands,Zimbabwe,1,Wessly Madhevere,out,1,5,9,0,0,20,T20I # 1859
181,Zimbabwe Vs Netherlands,Zimbabwe,2,Craig Ervine (c),out,3,12,18,0,0,25,T20I # 1859
182,Zimbabwe Vs Netherlands,Zimbabwe,3,Regis Chakabva †,out,5,16,18,1,0,31.25,T20I # 1859
183,Zimbabwe Vs Netherlands,Zimbabwe,4,Sean Williams,out,28,23,39,3,0,121.73,T20I # 1859
184,Zimbabwe Vs Netherlands,Zimbabwe,5,Sikandar Raza,out,40,24,46,3,3,166.66,T20I # 1859
185,Zimbabwe Vs Netherlands,Zimbabwe,6,Milton Shumba,out,2,3,6,0,0,66.66,T20I # 1859
186,Zimbabwe Vs Netherlands,Zimbabwe,7,Ryan Burl,out,2,7,19,0,0,28.57,T20I # 1859
187,Zimbabwe Vs Netherlands,Zimbabwe,8,Luke Jongwe,out,6,8,12,0,0,75,T20I # 1859
188,Zimbabwe Vs Netherlands,Zimbabwe,9,Richard Ngarava,out,9,7,12,0,1,128.57,T20I # 1859
189,Zimbabwe Vs Netherlands,Zimbabwe,10,Tendai Chatara,not out,6,7,15,0,0,85.71,T20I # 1859
190,Zimbabwe Vs Netherlands,Zimbabwe,11,Blessing Muzarabani,out,1,4,9,0,0,25,T20I # 1859
191,Zimbabwe Vs Netherlands,Netherlands,1,Stephan Myburgh,out,8,7,15,0,1,114.28,T20I # 1859
192,Zimbabwe Vs Netherlands,Netherlands,2,Max O'Dowd,out,52,47,70,8,1,110.63,T20I # 1859
193,Zimbabwe Vs Netherlands,Netherlands,3,Tom Cooper,out,32,29,42,2,1,110.34,T20I # 1859
194,Zimbabwe Vs Netherlands,Netherlands,4,Colin Ackermann,out,1,5,6,0,0,20,T20I # 1859
195,Zimbabwe Vs Netherlands,Netherlands,5,Bas de Leede,not out,12,12,21,2,0,100,T20I # 1859
196,Zimbabwe Vs Netherlands,Netherlands,6,Scott Edwards (c)†,out,5,6,8,1,0,83.33,T20I # 1859
197,Zimbabwe Vs Netherlands,Netherlands,7,Roelof van der Merwe,not out,0,3,6,0,0,0,T20I # 1859
198,England Vs New Zealand,England,1,Jos Buttler (c)†,out,73,47,82,7,2,155.31,T20I # 1858
199,England Vs New Zealand,England,2,Alex Hales,out,52,40,46,7,1,130,T20I # 1858
200,England Vs New Zealand,England,3,Moeen Ali,out,5,6,13,0,0,83.33,T20I # 1858
201,England Vs New Zealand,England,4,Liam Livingstone,out,20,14,20,1,1,142.85,T20I # 1858
202,England Vs New Zealand,England,5,Harry Brook,out,7,3,6,0,1,233.33,T20I # 1858
203,England Vs New Zealand,England,6,Ben Stokes,out,8,7,11,0,0,114.28,T20I # 1858
204,England Vs New Zealand,England,7,Sam Curran,not out,6,3,7,0,1,200,T20I # 1858
205,England Vs New Zealand,England,8,Dawid Malan,not out,3,1,1,0,0,300,T20I # 1858
206,England Vs New Zealand,New Zealand,1,Finn Allen,out,16,11,25,0,1,145.45,T20I # 1858
207,England Vs New Zealand,New Zealand,2,Devon Conway †,out,3,9,12,0,0,33.33,T20I # 1858
208,England Vs New Zealand,New Zealand,3,Kane Williamson (c),out,40,40,57,3,0,100,T20I # 1858
209,England Vs New Zealand,New Zealand,4,Glenn Phillips,out,62,36,64,4,3,172.22,T20I # 1858
210,England Vs New Zealand,New Zealand,5,James Neesham,out,6,3,7,1,0,200,T20I # 1858
211,England Vs New Zealand,New Zealand,6,Daryl Mitchell,out,3,5,10,0,0,60,T20I # 1858
212,England Vs New Zealand,New Zealand,7,Mitchell Santner,not out,16,10,19,0,1,160,T20I # 1858
213,England Vs New Zealand,New Zealand,8,Ish Sodhi,not out,6,6,4,0,0,100,T20I # 1858
214,Afghanistan Vs Sri Lanka,Afghanistan,1,Rahmanullah Gurbaz †,out,28,24,33,2,2,116.66,T20I # 1856
215,Afghanistan Vs Sri Lanka,Afghanistan,2,Usman Ghani,out,27,27,54,2,1,100,T20I # 1856
216,Afghanistan Vs Sri Lanka,Afghanistan,3,Ibrahim Zadran,out,22,18,35,1,1,122.22,T20I # 1856
217,Afghanistan Vs Sri Lanka,Afghanistan,4,Najibullah Zadran,out,18,16,29,1,0,112.5,T20I # 1856
218,Afghanistan Vs Sri Lanka,Afghanistan,5,Gulbadin Naib,out,12,14,25,0,0,85.71,T20I # 1856
219,Afghanistan Vs Sri Lanka,Afghanistan,6,Mohammad Nabi (c),out,13,8,15,1,0,162.5,T20I # 1856
220,Afghanistan Vs Sri Lanka,Afghanistan,7,Rashid Khan,out,9,8,10,1,0,112.5,T20I # 1856
221,Afghanistan Vs Sri Lanka,Afghanistan,8,Azmatullah Omarzai,not out,3,4,3,0,0,75,T20I # 1856
222,Afghanistan Vs Sri Lanka,Afghanistan,9,Mujeeb Ur Rahman,out,1,2,1,0,0,50,T20I # 1856
223,Afghanistan Vs Sri Lanka,Sri Lanka,1,Pathum Nissanka,out,10,10,10,2,0,100,T20I # 1856
224,Afghanistan Vs Sri Lanka,Sri Lanka,2,Kusal Mendis †,out,25,27,33,2,1,92.59,T20I # 1856
225,Afghanistan Vs Sri Lanka,Sri Lanka,3,Dhananjaya de Silva,not out,66,42,78,6,2,157.14,T20I # 1856
226,Afghanistan Vs Sri Lanka,Sri Lanka,4,Charith Asalanka,out,19,18,27,1,0,105.55,T20I # 1856
227,Afghanistan Vs Sri Lanka,Sri Lanka,5,Bhanuka Rajapaksa,out,18,14,24,3,0,128.57,T20I # 1856
228,Afghanistan Vs Sri Lanka,Sri Lanka,6,Dasun Shanaka (c),not out,0,0,4,0,0,-,T20I # 1856
229,Australia Vs Ireland,Australia,1,David Warner,out,3,7,13,0,0,42.85,T20I # 1855
230,Australia Vs Ireland,Australia,2,Aaron Finch (c),out,63,44,87,5,3,143.18,T20I # 1855
231,Australia Vs Ireland,Australia,3,Mitchell Marsh,out,28,22,28,2,2,127.27,T20I # 1855
232,Australia Vs Ireland,Australia,4,Glenn Maxwell,out,13,9,18,0,1,144.44,T20I # 1855
233,Australia Vs Ireland,Australia,5,Marcus Stoinis,out,35,25,41,3,1,140,T20I # 1855
234,Australia Vs Ireland,Australia,6,Tim David,not out,15,10,15,2,0,150,T20I # 1855
235,Australia Vs Ireland,Australia,7,Matthew Wade †,not out,7,3,7,1,0,233.33,T20I # 1855
236,Australia Vs Ireland,Ireland,1,Paul Stirling,out,11,7,11,1,1,157.14,T20I # 1855
237,Australia Vs Ireland,Ireland,2,Andy Balbirnie (c),out,6,7,11,0,1,85.71,T20I # 1855
238,Australia Vs Ireland,Ireland,3,Lorcan Tucker †,not out,71,48,81,9,1,147.91,T20I # 1855
239,Australia Vs Ireland,Ireland,4,Harry Tector,out,6,4,3,1,0,150,T20I # 1855
240,Australia Vs Ireland,Ireland,5,Curtis Campher,out,0,1,5,0,0,0,T20I # 1855
241,Australia Vs Ireland,Ireland,6,George Dockrell,out,0,4,4,0,0,0,T20I # 1855
242,Australia Vs Ireland,Ireland,7,Gareth Delany,out,14,10,27,2,0,140,T20I # 1855
243,Australia Vs Ireland,Ireland,8,Mark Adair,out,11,11,13,1,0,100,T20I # 1855
