,match,bowlingTeam,bowler,overs,maiden,runs,wicktes,economy,zeros,fours,sixex,wides,noBalls
134,Zimbabwe Vs Netherlands,Zimbabwe,Bas de Leede,4,0,14,2,3.50,11,0,0,0,0
135,Zimbabwe Vs Netherlands,Zimbabwe,Roelof van der Merwe,1,0,8,0,8.00,2,1,0,0,0
136,Zimbabwe Vs Netherlands,Netherlands,Tendai Chatara,4,0,22,0,5.50,14,4,0,0,0
137,Zimbabwe Vs Netherlands,Netherlands,Richard Ngarava,4,0,18,2,4.50,15,1,1,0,0
138,Zimbabwe Vs Netherlands,Netherlands,Blessing Muzarabani,4,0,23,2,5.75,14,2,1,1,0
139,Zimbabwe Vs Netherlands,Netherlands,Sean Williams,3,0,21,0,7.00,8,2,1,0,0
140,Zimbabwe Vs Netherlands,Netherlands,Sikandar Raza,1,0,6,0,6.00,0,0,0,0,0
141,Zimbabwe Vs Netherlands,Netherlands,Luke Jongwe,2,0,25,1,12.50,3,4,0,3,1
142,England Vs New Zealand,England,Trent Boult,4,0,40,0,10.00,8,4,1,1,0
143,England Vs New Zealand,England,Tim Southee,4,0,43,1,10.75,9,3,3,0,0
144,England Vs New Zealand,England,Mitchell Santner,4,0,25,1,6.25,8,2,0,0,0
145,England Vs New Zealand,England,Lockie Ferguson,4,0,45,2,11.25,6,4,2,0,1
146,England Vs New Zealand,England,Ish Sodhi,4,0,23,1,5.75,10,2,0,0,0
147,England Vs New Zealand,New Zealand,Moeen Ali,1,0,4,0,4.00,3,0,0,0,0
148,England Vs New Zealand,New Zealand,Chris Woakes,4,0,33,2,8.25,9,1,2,1,0
149,England Vs New Zealand,New Zealand,Adil Rashid,4,0,33,0,8.25,6,0,2,0,0
150,England Vs New Zealand,New Zealand,Sam Curran,4,0,26,2,6.50,9,0,0,2,0
151,England Vs New Zealand,New Zealand,Mark Wood,3,0,25,1,8.33,8,2,1,1,0
152,England Vs New Zealand,New Zealand,Liam Livingstone,3,0,26,0,8.66,4,3,0,0,0
153,England Vs New Zealand,New Zealand,Ben Stokes,1,0,10,1,10.00,2,2,0,0,0
154,Afghanistan Vs Sri Lanka,Afghanistan,Kasun Rajitha,4,0,31,1,7.75,11,2,1,1,1
155,Afghanistan Vs Sri Lanka,Afghanistan,Pramod Madushan,3,0,24,0,8.00,7,2,1,0,0
156,Afghanistan Vs Sri Lanka,Afghanistan,Lahiru Kumara,4,0,30,2,7.50,12,2,1,4,0
157,Afghanistan Vs Sri Lanka,Afghanistan,Maheesh Theekshana,4,0,33,0,8.25,5,1,1,1,0
158,Afghanistan Vs Sri Lanka,Afghanistan,Wanindu Hasaranga,4,0,13,3,3.25,12,0,0,0,0
159,Afghanistan Vs Sri Lanka,Afghanistan,Dhananjaya de Silva,1,0,9,1,9.00,1,1,0,0,0
160,Afghanistan Vs Sri Lanka,Sri Lanka,Fazalhaq Farooqi,3.3,1,22,0,6.28,11,3,0,1,0
161,Afghanistan Vs Sri Lanka,Sri Lanka,Mujeeb Ur Rahman,4,0,24,2,6.00,12,3,0,0,0
162,Afghanistan Vs Sri Lanka,Sri Lanka,Fareed Ahmad,2,0,25,0,12.50,3,3,1,1,0
163,Afghanistan Vs Sri Lanka,Sri Lanka,Rashid Khan,4,0,31,2,7.75,10,2,1,1,0
164,Afghanistan Vs Sri Lanka,Sri Lanka,Azmatullah Omarzai,2,0,17,0,8.50,2,1,0,1,0
165,Afghanistan Vs Sri Lanka,Sri Lanka,Mohammad Nabi,2,0,16,0,8.00,2,0,1,0,0
166,Afghanistan Vs Sri Lanka,Sri Lanka,Gulbadin Naib,1,0,12,0,12.00,1,2,0,0,0
167,Australia Vs Ireland,Australia,Josh Little,4,0,21,2,5.25,13,2,0,2,0
168,Australia Vs Ireland,Australia,Mark Adair,4,0,59,0,14.75,6,7,2,6,0
