,match,team,batting_Pos,batsman,out/not out,run,ball,m,fours,sixes,strike_rate
204,England Vs New Zealand,England,7,Sam Curran,not out,6,3,7,0,1,200.00
205,England Vs New Zealand,England,8,Dawid Malan,not out,3,1,1,0,0,300.00
206,England Vs New Zealand,New Zealand,1,Finn Allen,c Stokes b Curran,16,11,25,0,1,145.45
207,England Vs New Zealand,New Zealand,2,Devon Conway †,c †Buttler b Woakes,3,9,12,0,0,33.33
208,England Vs New Zealand,New Zealand,3,Kane Williamson (c),c Rashid b Stokes,40,40,57,3,0,100.00
209,England Vs New Zealand,New Zealand,4,Glenn Phillips,c sub (CJ Jordan) b Curran,62,36,64,4,3,172.22
210,England Vs New Zealand,New Zealand,5,James Neesham,c Curran b Wood,6,3,7,1,0,200.00
211,England Vs New Zealand,New Zealand,6,Daryl Mitchell,c sub (CJ Jordan) b Woakes,3,5,10,0,0,60.00
212,England Vs New Zealand,New Zealand,7,Mitchell Santner,not out,16,10,19,0,1,160.00
213,England Vs New Zealand,New Zealand,8,Ish Sodhi,not out,6,6,4,0,0,100.00
214,Afghanistan Vs Sri Lanka,Afghanistan,1,Rahmanullah Gurbaz †,b Kumara,28,24,33,2,2,116.66
215,Afghanistan Vs Sri Lanka,Afghanistan,2,Usman Ghani,c Shanaka b PWH de Silva,27,27,54,2,1,100.00
216,Afghanistan Vs Sri Lanka,Afghanistan,3,Ibrahim Zadran,c Rajapaksa b Kumara,22,18,35,1,1,122.22
217,Afghanistan Vs Sri Lanka,Afghanistan,4,Najibullah Zadran,c PWH de Silva b DM de Silva,18,16,29,1,0,112.50
218,Afghanistan Vs Sri Lanka,Afghanistan,5,Gulbadin Naib,run out (Nissanka/†Mendis),12,14,25,0,0,85.71
219,Afghanistan Vs Sri Lanka,Afghanistan,6,Mohammad Nabi (c),c Shanaka b Rajitha,13,8,15,1,0,162.50
220,Afghanistan Vs Sri Lanka,Afghanistan,7,Rashid Khan,b PWH de Silva,9,8,10,1,0,112.50
221,Afghanistan Vs Sri Lanka,Afghanistan,8,Azmatullah Omarzai,not out,3,4,3,0,0,75.00
222,Afghanistan Vs Sri Lanka,Afghanistan,9,Mujeeb Ur Rahman,st †Mendis b PWH de Silva,1,2,1,0,0,50.00
223,Afghanistan Vs Sri Lanka,Sri Lanka,1,Pathum Nissanka,b Mujeeb Ur Rahman,10,10,10,2,0,100.00
224,Afghanistan Vs Sri Lanka,Sri Lanka,2,Kusal Mendis †,c †Rahmanullah Gurbaz b Rashid Khan,25,27,33,2,1,92.59
225,Afghanistan Vs Sri Lanka,Sri Lanka,3,Dhananjaya de Silva,not out,66,42,78,6,2,157.14
226,Afghanistan Vs Sri Lanka,Sri Lanka,4,Charith Asalanka,c Azmatullah Omarzai b Rashid Khan,19,18,27,1,0,105.55
227,Afghanistan Vs Sri Lanka,Sri Lanka,5,Bhanuka Rajapaksa,c †Rahmanullah Gurbaz b Mujeeb Ur Rahman,18,14,24,3,0,128.57
228,Afghanistan Vs Sri Lanka,Sri Lanka,6,Dasun Shanaka (c),not out,0,0,4,0,0,-
229,Australia Vs Ireland,Australia,1,David Warner,c Adair b McCarthy,3,7,13,0,0,42.85
230,Australia Vs Ireland,Australia,2,Aaron Finch (c),c Adair b McCarthy,63,44,87,5,3,143.18
231,Australia Vs Ireland,Australia,3,Mitchell Marsh,c †Tucker b McCarthy,28,22,28,2,2,127.27
232,Australia Vs Ireland,Australia,4,Glenn Maxwell,c †Tucker b Little,13,9,18,0,1,144.44
233,Australia Vs Ireland,Australia,5,Marcus Stoinis,c Dockrell b Little,35,25,41,3,1,140.00
234,Australia Vs Ireland,Australia,6,Tim David,not out,15,10,15,2,0,150.00
235,Australia Vs Ireland,Australia,7,Matthew Wade †,not out,7,3,7,1,0,233.33
236,Australia Vs Ireland,Ireland,1,Paul Stirling,c Cummins b Maxwell,11,7,11,1,1,157.14
237,Australia Vs Ireland,Ireland,2,Andy Balbirnie (c),b Cummins,6,7,11,0,1,85.71
238,Australia Vs Ireland,Ireland,3,Lorcan Tucker †,not out,71,48,81,9,1,147.91
239,Australia Vs Ireland,Ireland,4,Harry Tector,c sub (SPD Smith) b Maxwell,6,4,3,1,0,150.00
240,Australia Vs Ireland,Ireland,5,Curtis Campher,b Starc,0,1,5,0,0,0.00
